State,Count,Amount,Quarter
puducherry,13446950,17386481977.0,Q1 2024
tamil nadu,640327197,913861111062.0,Q1 2024
uttar pradesh,1785296948,2477543106639.0,Q1 2024
madhya pradesh,1286156614,1625420229864.0,Q1 2024
andhra pradesh,1755428485,3012725669749.0,Q1 2024
tripura,11042639,17752189374.0,Q1 2024
lakshadweep,81176,130052381.0,Q1 2024
manipur,3845564,9242973323.0,Q1 2024
maharashtra,2835770481,3372898894856.0,Q1 2024
dadra & nagar haveli & daman & diu,21115009,19519196325.0,Q1 2024
meghalaya,8531262,15629304658.0,Q1 2024
andaman & nicobar islands,4184920,6859151835.0,Q1 2024
haryana,604293500,806788219232.0,Q1 2024
rajasthan,1599474007,2350500173790.0,Q1 2024
ladakh,2987101,6085390661.0,Q1 2024
punjab,142537179,223303420322.0,Q1 2024
assam,221525056,321183906030.0,Q1 2024
jharkhand,426759095,559720237073.0,Q1 2024
odisha,864178452,1156388722536.0,Q1 2024
bihar,1078734783,1637736864896.0,Q1 2024
kerala,181463966,227077974738.0,Q1 2024
karnataka,2796439155,3485248654506.0,Q1 2024
chandigarh,13155173,15842176181.0,Q1 2024
telangana,2179385307,3203769301073.0,Q1 2024
himachal pradesh,39520561,47884231339.0,Q1 2024
west bengal,836408587,1422025506833.0,Q1 2024
gujarat,606576671,871619464924.0,Q1 2024
sikkim,5820146,9455721523.0,Q1 2024
nagaland,4258924,10044915308.0,Q1 2024
mizoram,1627016,3630096730.0,Q1 2024
chhattisgarh,366176684,463009809901.0,Q1 2024
jammu & kashmir,75116355,93960928941.0,Q1 2024
goa,35013987,45351900260.0,Q1 2024
arunachal pradesh,16406414,26047044476.0,Q1 2024
delhi,650734058,832514031113.0,Q1 2024
uttarakhand,123234577,150276835263.0,Q1 2024
puducherry,14564895,18242009736.0,Q2 2024
tamil nadu,705083686,985151000000.0,Q2 2024
uttar pradesh,2135538658,2704220000000.0,Q2 2024
madhya pradesh,1435472057,1779680000000.0,Q2 2024
andhra pradesh,1930122300,3181920000000.0,Q2 2024
tripura,12787547,18137431068.0,Q2 2024
lakshadweep,109085,146212841.0,Q2 2024
manipur,5063324,10898000793.0,Q2 2024
maharashtra,3063494802,3573190000000.0,Q2 2024
dadra & nagar haveli & daman & diu,23393115,20328992711.0,Q2 2024
meghalaya,11089661,16794614094.0,Q2 2024
andaman & nicobar islands,4653224,7295780330.0,Q2 2024
haryana,738553925,905445000000.0,Q2 2024
rajasthan,1818855106,2497090000000.0,Q2 2024
ladakh,5327359,10125723348.0,Q2 2024
punjab,171946137,244435000000.0,Q2 2024
assam,271327087,345309000000.0,Q2 2024
jharkhand,499685871,620116000000.0,Q2 2024
odisha,944027735,1164840000000.0,Q2 2024
bihar,1313888385,1886850000000.0,Q2 2024
kerala,194872467,242004000000.0,Q2 2024
karnataka,3042012848,3785030000000.0,Q2 2024
chandigarh,15940973,17556903812.0,Q2 2024
telangana,2417264357,3461540000000.0,Q2 2024
himachal pradesh,52583801,59849740702.0,Q2 2024
west bengal,980480707,1547340000000.0,Q2 2024
gujarat,690395153,910625000000.0,Q2 2024
sikkim,7188322,11296518155.0,Q2 2024
nagaland,5598700,11012913096.0,Q2 2024
mizoram,1977079,3798477640.0,Q2 2024
chhattisgarh,412047705,496313000000.0,Q2 2024
jammu & kashmir,108179014,129062000000.0,Q2 2024
goa,37000806,47454830712.0,Q2 2024
arunachal pradesh,19478372,29706351630.0,Q2 2024
delhi,777540400,896918000000.0,Q2 2024
uttarakhand,158564982,180613000000.0,Q2 2024
